[object Uint8Array]Source page: https://muru-d.com/startups/,,,,,,,,,,,,
image_1,image_1/_alt,link_1,link_1/_text,link_1/_title,social_links_link_list,social_links_link_list/_text,,,,,class_number,summary_text
https://muru-d.com/media/startups/logos/ChattyKidz_logo_v3.png.170x100_q85.png,Chatty Kidz logo,https://muru-d.com/startups/chatty-kids/,Class 1 Chatty Kidz,,http://www.chattykidz.com/; https://twitter.com/chattykidz; http://plus.google.com/+chattykidz; http://www.facebook.com/chattykidz; http://www.linkedin.com/company/chatty-kidz,www.chattykidz.com, @chattykidz, Google+, Facebook, LinkedIn,1,"Chatty Kidz loves helping kids get more A's with our family learning app, combining Skype¨¹s real-time engagement with educational content. Children learn better with a safe, trusted network focused on their education."
https://muru-d.com/media/startups/logos/farmbot_01.png.170x100_q85.png,FarmBot logo,https://muru-d.com/startups/farmbot/,Class 1 FarmBot,,http://www.farmbot.com.au/; mailto://craig.hendricks@farmbot.com.au,www.farmbot.com.au, craig.hendricks@farmbot.com.au,,,,1,"FarmBot is a revolutionary new monitoring system for farms, remote infrastructure and environments that will provide significant cost savings and risk minimisation for farms and remote sites."
https://muru-d.com/media/startups/logos/lime_rocket_1.png.170x100_q85.png,Lime Rocket logo,https://muru-d.com/startups/lime-rocket/,Class 1 Lime Rocket,,http://limerocket.com/; https://twitter.com/limerocketapps; http://www.facebook.com/limerocket; http://au.linkedin.com/in/mrmikeg,limerocket.com, @limerocketapps, Facebook, LinkedIn,,1,Lime Rocket enables Crowd Games for Live Audiences by connecting SmartPhones to digital screens via our Buzzy Network.
https://muru-d.com/media/startups/logos/MomentumCloud.170x100_q85.png,Momentum Cloud logo,https://muru-d.com/startups/momentum-cloud/,Class 1 Momentum Cloud,,http://www.momentumcloud.com/; https://twitter.com/esrmomentum; http://www.facebook.com/esrmomentum,www.momentumcloud.com, @esrmomentum, Facebook,,,1,Momentum Cloud provides learning analytics for a complete picture of a child's education so that teachers can personalise learning for better educational outcomes for children.
https://muru-d.com/media/startups/logos/open_learning.png.170x100_q85.png,OpenLearning logo,https://muru-d.com/startups/openlearning/,Class 1 OpenLearning,,http://www.openlearning.com/; https://twitter.com/openlrning; http://www.facebook.com/openlearning; http://www.linkedin.com/company/open-learning,www.openlearning.com, @openlrning, Facebook, LinkedIn,,1,"OpenLearning is the social and collaborative online learning platform that fosters communities around courses to make online learning more fun, effective and enjoyable."
https://muru-d.com/media/startups/logos/pix.png.170x100_q85.png,Pixc logo,https://muru-d.com/startups/pixc/,Class 1 Pixc,,http://www.pixcphotos.com/; https://twitter.com/pixcphotos; http://facebook.com/pixcapp; http://instagram.com/pixcphotos; http://www.pinterest.com/pixcphotos/,www.pixcphotos.com, @pixcphotos, Facebook, Instagram, Pinterest,1,Pixc provides high volume image editing service that makes product images awesome so online stores can increase their sales.
https://muru-d.com/media/startups/logos/Safesite.png.170x100_q85.jpg,Safesite logo,https://muru-d.com/startups/safesite/,Class 1 Safesite,,http://www.safesiteapp.com/; mailto://info@safesiteapp.com; https://twitter.com/safesitetech,www.safesiteapp.com, info@safesiteapp.com, @safesitetech,,,1,"Safesite is a mobile application that records and communicates critical safety information across entire construction site, allowing supervisors to save time, money and improving safety culture, resulting in fewer injuries."
https://muru-d.com/media/startups/logos/Vistrlogo400x400.png.170x100_q85.png,Vistr logo,https://muru-d.com/startups/vistr/,Class 1 Vistr,,https://www.vistr.co/; https://twitter.com/VistrTeam; http://www.facebook.com/vistr.com.au,https://www.vistr.co, @VistrTeam, Facebook,,,1,"Vistr is an online software that tracks, forecasts and improves small business cash flows by interpreting and shaping smart decisions from Xero accounting data."
https://muru-d.com/media/startups/logos/zed_1.png.170x100_q85.png,Zed Technologies logo,https://muru-d.com/startups/zed-technologies/,Class 1 Zed Technologies,,http://www.zedtechnologies.com.au/; mailto://info@zedtechnologies.com.au; https://twitter.com/zedtechnologies,www.zedtechnologies.com.au, info@zedtechnologies.com.au, @zedtechnologies,,,1,"Zed Technologies has developed My Film Bag, a platform for patients to view, share and store their X-rays and scans from the cloud."
https://muru-d.com/media/startups/logos/logo.png.170x100_q85.png,CrowdSourceHire logo,https://muru-d.com/startups/crowdsourcehire/,Class 2 CrowdSourceHire,,http://crowdsourcehire.com/; https://twitter.com/crowdsourcehire; https://www.facebook.com/CrowdSourceHire; https://www.linkedin.com/company/crowdsource-hire,crowdsourcehire.com, @crowdsourcehire, Facebook, LinkedIn,,2,CrowdSourceHire is an online platform for assessing the skills of technical hires using crowdsourced industry experts.
https://muru-d.com/media/startups/logos/dirupt_logo.png.170x100_q85.png,Disrupt logo,https://muru-d.com/startups/disrupt/,Class 2 Disrupt,,https://twitter.com/disruptsurfing; http://facebook.com/disruptsurfing; http://youtube.com/StartDisrupting; http://instagram.com/disruptsurfing,@disruptsurfing, Facebook, YouTube, Instagram,,2,Custom surfboards& other sporting goods made using 3D modelling.
https://muru-d.com/media/startups/logos/fanfuel_Masterbrand_stacked_reverse.png.170x100_q85.png,FanFuel logo,https://muru-d.com/startups/fanfuel/,Class 2 FanFuel,,https://twitter.com/fanfuelco; https://www.facebook.com/fanfuelco; https://www.youtube.com/user/fanfuelco; http://instagram.com/fanfuel,@fanfuelco, Facebook, YouTube, Instagram,,2,"FanFuel is a sports sponsorship platform that allows brands to easily search for athletes, secure sponsorship deals and measure their return on investment while also helping athletes understand their marketing potential."
https://muru-d.com/media/startups/logos/FE_logo.png.170x100_q85.png,Freight Exchange logo,https://muru-d.com/startups/freight-exchange/,Class 2 Freight Exchange,,http://www.freightexchange.com.au/; https://twitter.com/fr8exchangeit; https://plus.google.com/+FreightexchangeAu; https://www.linkedin.com/company/freightexchange,www.freightexchange.com.au, @fr8exchangeit, Google+, LinkedIn,,2,FreightExchange is a digital marketplace that enables long-distance freight carriers to connect seamlessly with their customers to sell their excess capacity.
https://muru-d.com/media/startups/logos/Funetics-logo-transparent.png.170x100_q85.png,Funetics logo,https://muru-d.com/startups/Funetics/,Class 2 Funetics,,http://www.learningfunetics.com/; https://twitter.com/learnfunetics; https://www.facebook.com/learningfunetics; https://www.linkedin.com/company/3747812?trk=tyah&trkInfo=tarId%3A1414367353741%2Ctas%3Apeep%20d%2Cidx%3A2-1-6,www.learningfunetics.com, @learnfunetics, Facebook, LinkedIn,,2,Peep is phonetic English technology platform that helps users around the world master English pronunciation and comprehension.
https://muru-d.com/media/startups/logos/logo2x.png.170x100_q85.png,Instrument Works logo,https://muru-d.com/startups/instrument-works/,Class 2 Instrument Works,,http://www.instrument-works.com/; https://twitter.com/instrumentwork; https://www.facebook.com/instrumentwork; http://www.linkedin.com/company/instrument-works,www.instrument-works.com, @instrumentwork, Facebook, LinkedIn,,2,"Making data collection for the lab, the field and the factory simple, reliable and accurate."
https://muru-d.com/media/startups/logos/SoccerBrain_logo.png.170x100_q85.jpg,SoccerBrain logo,https://muru-d.com/startups/soccer-brain/,Class 2 SoccerBrain,,https://soccerbrainpro.com/; http://instagram.com/soccerbrain,https://soccerbrainpro.com, Instagram,,,,2,SoccerBrain - easy for anyone to coach a team.
https://muru-d.com/media/startups/logos/Logo_588px.png.170x100_q85.png,Tripalocal logo,https://muru-d.com/startups/tripalocal/,Class 2 Tripalocal,,http://www.tripalocal.com/; https://twitter.com/tripalocal; https://www.facebook.com/tripalocal; https://www.linkedin.com/company/tripalocal,www.tripalocal.com, @tripalocal, Facebook, LinkedIn,,2,Tripalocal is an online platform connecting travellers with locals for authentic local experiences.
https://muru-d.com/media/startups/logos/vClass_Logo.png.170x100_q85.png,Vclass logo,https://muru-d.com/startups/vclass/,Class 2 Vclass,,http://vclass.com.au/; https://twitter.com/vClass2014; https://www.facebook.com/pages/VClass-Pty-Ltd/1480760385540136,vclass.com.au, @vClass2014, Facebook,,,2,Vclass is a first online education platform that emulates the classroom scenario and enables students and tutors to collaborate using traditional pen and paper.
https://muru-d.com/media/startups/logos/Wattblock_Logo_Medium.png.170x100_q85.png,Wattblock logo,https://muru-d.com/startups/wattblock/,Class 2 Wattblock,,http://wattblock.com.au/; https://twitter.com/wattblock; https://www.facebook.com/pages/Wattblock/270023416524608?ref=ts&fref=ts; http://www.linkedin.com/company/wattblock,wattblock.com.au, @wattblock, Facebook, LinkedIn,,2,Wattblock provides quickstart energy reports for strata buildings saving up to 70% on common energy costs and unit owners up to $400 p.a.
