[object Uint8Array]Source page: http://tc.technode.com/speaker,
thumbnail_image,thumbnail_image/_alt,name_text,position_text
"http://tc.technode.com/files/bfi_thumb/gebizhulin-2x6rkc6llbz7mt2vhi8e80.jpg","朱璘","朱璘","戈壁 合伙人"
"http://tc.technode.com/files/bfi_thumb/Kick2Real.com-林泰龍-Moses-Lin-照片-2xb7dc9dppmk9m0j5i2osg.jpg","林泰龙","林泰龙","Foxconn富士康科技集团 Kick2Real"
"http://tc.technode.com/files/bfi_thumb/jimmy-2x55aszmnyvi8j0qiz21og.jpeg","Jimmy Rim","Jimmy Rim","K Cube Ventures Founder & CEO"
"http://tc.technode.com/files/bfi_thumb/Dave-McClure-500Startups-founder-2x1y5ay4e7x9sw31gh6ubk.jpg","Dave McClure","Dave McClure","500Startups Founder"
"http://tc.technode.com/files/bfi_thumb/Henry1-2x8mg3gm2ehe0zw4tn4ohs.jpg","Henry Fong","Henry Fong","游道易游戏(割绳子的发行商) CEO"
"http://tc.technode.com/files/bfi_thumb/Leon-Pic-2x5lvso4axbtqapjj4x0cg.jpg","李林","李林","火币网 创始人"
"http://tc.technode.com/files/bfi_thumb/leihaibo-2x6riomiqnbybt9mwwllhc.jpeg","雷海波","雷海波","太火鸟 创始人"
"http://tc.technode.com/files/bfi_thumb/Coin-2x8d8fn09ncbn4icpjvh8g.jpg","Kanishk Parashar","Kanishk Parashar","Coin Founder & CEO"
"http://tc.technode.com/files/bfi_thumb/davidbyttow-t-2wtjtu3mfu64g43b7pi8e8.jpg","David Byttow","David Byttow","Secret Co-Founder&CEO"
"http://tc.technode.com/files/bfi_thumb/SaulSinger-2x6znztakhrvomryqoe1og.jpg","Saul Singer","Saul Singer","创业的国度-以色列经济奇迹的启示 作者"
"http://tc.technode.com/files/bfi_thumb/braddenWondra_CTO-2x788gg16g0981ktltquww.png","Bradden Wondra","Bradden Wondra","Pearson CTO"
"http://tc.technode.com/files/bfi_thumb/paul-chen-2wtr50fl3im6u2ufgb1fk0.jpg","Paul Chen","Paul Chen","beintoo亚太区 首席执行官"
"http://tc.technode.com/files/bfi_thumb/MatthewPrinceCo-founderofCloudFlare-2x4mhizywpmiitzodje6m8.jpg","Matthew Prince","Matthew Prince","CloudFlare Co-founder & CEO"
"http://tc.technode.com/files/bfi_thumb/qiniu-2x6aii8twnrauytl0pbpq8.jpg","吕桂华","吕桂华","七牛 总裁"
"http://tc.technode.com/files/bfi_thumb/SougouCEOWangXiaochuan-2x1y4iod2dzwhz4vsklb7k.jpg","王小川","王小川","搜狗 CEO"
"http://tc.technode.com/files/bfi_thumb/Nobuaki-KItagawa-2x788s4pfnkrojzwfdxu68.jpg","Nobuaki Kitagawa","Nobuaki Kitagawa","CyberAgent Managing Director"
"http://tc.technode.com/files/bfi_thumb/benjaminjoffe-t-2wtz14sbcznar5za491fy8.jpeg","Benjamin Joffe","Benjamin Joffe","HAXLR8R General Partner"
"http://tc.technode.com/files/bfi_thumb/chumenwenwen_lizhifei-2x84w14ql9tr3q8i7kensw.jpg","李志飞","李志飞","出门问问 创始人 & CEO"
"http://tc.technode.com/files/bfi_thumb/TalkingDataSVP-jiangqi-2x6aogur4e4xltqmw93myo.jpg","蒋奇","蒋奇","TalkingData SVP"
"http://tc.technode.com/files/bfi_thumb/Jean-2x8eixsfw15cpi2crf7xfk.jpg","Jean-Francois Vallee","Jean-Francois Vallee","育碧成都工作室 总经理"
"http://tc.technode.com/files/bfi_thumb/PICOOC-2x9md2zm7qplomrinx5zi8.jpg","张悦","张悦","PICOOC 创始人"
"http://tc.technode.com/files/bfi_thumb/wenxin_400x400-2wymdre5be5m1dspj10d8g.jpeg","文心","文心","LightInTheBox创始人/总裁"
"http://tc.technode.com/files/bfi_thumb/HKleinhout_400x400-2wymdr0ksik1p8k3dfgef4.jpeg","Huib Kleinhout","Huib Kleinhout","Head of the Opera Coast project"
"http://tc.technode.com/files/bfi_thumb/IDGlifeng-2x6rl6ps2fhyylgq305q80.jpg","李丰","李丰","IDG资本 合伙人"
