[object Uint8Array]Source page: http://www.woshipm.com/category/pmd,
attachment_gallery180cc134_image,attachment_gallery180cc134_image/_alt,image_link_1,image_link_1/_text,image_link_1/_title,link_1,link_1/_text,link_1/_title,link_2,link_2/_text,link_2/_title,text_1,text_2,tag_text_list,content_text,in_number
"http://image.woshipm.com/wp-files/2015/03/9d7263e9daba221dcbe2f4e4d492d780-180x134.jpg","张小龙的产品观","http://www.woshipm.com/pmd/143102.html","","张小龙的产品观","http://www.woshipm.com/pmd/143102.html","张小龙的产品观","张小龙的产品观","http://www.woshipm.com/pmd/143102.html#respond","0","《张小龙的产品观》上的评论","03/19","0:21","PM; 张小龙","花了一整天的时间去了解张小龙，并且看了一些文章，还逛了很久的知乎。发现关于他的访谈和资料很多，但是很杂乱。于是我花了一点时间整理总结......","32"
"http://image.woshipm.com/wp-files/2015/03/捕获1-180x134.png","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html","","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html","做产品的几点经验教训","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html#respond","0","《做产品的几点经验教训》上的评论","03/18","22:56","产品体验; 教训","增哥点评：教训比成功的经验更加有意义，教训能让你明白哪些是坑。而成功的经验往往和当时的条件和环境有着莫大的关联，因时因地而异。文章中的......","121"
"http://image.woshipm.com/wp-files/2015/03/ts-180x134.png","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html","","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html","跨界！转型！入门！起点学院“产品经理实战","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html#respond","0","《跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！》上的评论","03/18","15:05","产品经理; 产品经理培训; 起点学院","我是传统行业，我想跨界互联网；我是新人，我想入门产品经理；我是运营/开发，我想转行产品经理；我是创业者，我是产品经理。 但众人追捧的产品......","668"
"http://image.woshipm.com/wp-files/2015/03/project_photos-files-000-017-211-17211-large-180x134.jpg","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html","","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html","你的才能被埋没了没？10种埋没才能的生活方","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html#respond","0","《你的才能被埋没了没？10种埋没才能的生活方式》上的评论","03/18","10:30","二八原则; 产品经理; 产品经理培训","你可知道，很多人一辈子也没发挥出他们真正潜能的0.1%这么多. 事实就是如此，人类的潜能是无限的。人脑不像电脑，大脑的“硬盘”永远不会不够用......","1204"
"http://image.woshipm.com/wp-files/2015/03/6402-180x134.png","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html","","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html","派系之争太激烈，在线旅游业盈利状态不乐观","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html#respond","0","《派系之争太激烈，在线旅游业盈利状态不乐观》上的评论","03/17","17:10","去哪儿; 同程; 旅游","小白叨一叨：在线旅游行业就存在着这样的派系：BATX，它们分别对应着百度系、阿里系、 腾讯系、 和携程。在观看它们之间让人眼花缭乱的战争之前......","849"
"http://image.woshipm.com/wp-files/2015/03/cfcd208495d565ef66e7dff9f98764da18-180x134.jpg","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html","","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html","阿里巴巴数据产品经理工作(总结篇)","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html#respond","0","《阿里巴巴数据产品经理工作(总结篇)》上的评论","03/17","14:59","产品经理; 数据; 阿里巴巴","PD（指产品经理，下同）本身就是在做牛做马，关系圈异常复杂。数据PD也不例外。而且打交道的人更多。以下是我用PPT绘制的数据产品经理关系圈。 ......","1916"
"http://image.woshipm.com/wp-files/2015/03/8ed2f9e120b2c67c9eb72765970a457b-180x134.jpg","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html","","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html","以用户思维为导向，如何做一名优秀的电影产","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html#respond","0","《以用户思维为导向，如何做一名优秀的电影产品经理》上的评论","03/17","12:10","产品经理; 产品运营; 用户思维","真正的产品经理是一个体系，一个团队，类似开发手游一样，以用户思维，以用户需求为导向。跟苹果和小米一样，洞察用户需求，研发出爆品，让用户......","1068"
"http://image.woshipm.com/wp-files/2015/03/kaijianglapeitu-180x134.jpg","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html","","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html","【开讲啦】第十二期：百度高级产品经理的自","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html#respond","0","《【开讲啦】第十二期：百度高级产品经理的自我修炼》上的评论","03/17","11:27","开讲啦，无解肥产品; 百度高级产品经理","每天在q群都看到很多产品新人在问，怎么才能成为一个更好的产品经理？怎么才能对自己加产品特技？我们总是看到一些人随随便就做出一鸣惊人的好......","1754"
"http://image.woshipm.com/wp-files/2015/03/viewfile-180x134.gif","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html","","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html","互联网产品经理应该做什么？","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html#respond","0","《互联网产品经理应该做什么？》上的评论","03/17","11:27","互联网; 产品经理; 投稿","互联网产品经理应该做什么，我个人总结了一句话：“目标用户需求转化” 下面我们来听一下这句话怎么解释，先拆分成两个关键词来解释： 一、目标用......","1833"
"http://image.woshipm.com/wp-files/2015/03/hangye-o2o20-180x134.jpg","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html","","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html","干货：聊聊有关O2O的五点真相","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html#respond","0","《干货：聊聊有关O2O的五点真相》上的评论","03/17","10:52","O2O","【导读】产品经理其实最好还是了解一些宗教的哲学，比如道家所讲的“道生一，一生二，二生三，三生万物”。了解这个的目的在于我们能够穿透层层的......","1165"
